ticket_id,agent_id,status,resolution_time,category
TKT00200,A001,Resolved,0h 28m 0s,Billing
TKT00201,A001,Resolved,0h 16m 30s,Technical
TKT00202,A002,Resolved,0h 35m 0s,Account
TKT00203,A002,Open,0h 22m 0s,Delivery
TKT00204,A003,Resolved,0h 20m 45s,Returns
TKT00205,A003,Resolved,0h 9m 0s,General
TKT00206,A004,Resolved,0h 31m 0s,Technical
TKT00207,A004,Resolved,0h 18m 15s,Billing
TKT00208,A005,Resolved,0h 26m 0s,Account
TKT00209,A005,Pending,0h 40m 0s,Delivery
TKT00210,A006,Resolved,0h 22m 30s,Returns
TKT00211,A006,Resolved,0h 14m 0s,General
TKT00212,A007,Resolved,0h 37m 0s,Technical
TKT00213,A007,Resolved,0h 19m 45s,Billing
TKT00214,A008,Resolved,0h 25m 0s,Account
TKT00215,A008,Open,0h 33m 0s,Delivery
TKT00216,A009,Resolved,0h 36m 1s,Technical
TKT00217,A009,Resolved,0h 21m 30s,Returns
TKT00218,A010,Resolved,0h 17m 0s,General
TKT00219,A010,Resolved,0h 30m 0s,Billing
TKT00220,A011,Resolved,0h 24m 0s,Account
TKT00221,A011,Resolved,0h 15m 30s,Delivery
TKT00222,A012,Resolved,0h 42m 0s,Returns
TKT00223,A012,Open,0h 18m 0s,General
TKT00224,A013,Resolved,0h 27m 30s,Technical
TKT00225,A013,Resolved,0h 12m 0s,Billing
TKT00226,A014,Resolved,0h 33m 0s,Account
TKT00227,A014,Resolved,0h 20m 15s,Delivery
TKT00228,A015,Resolved,0h 29m 0s,Returns
TKT00229,A015,Pending,0h 38m 0s,General
TKT00230,A016,Resolved,0h 23m 0s,Technical
TKT00231,A016,Resolved,0h 17m 45s,Billing
TKT00232,A017,Resolved,0h 36m 0s,Account
TKT00233,A017,Open,0h 25m 0s,Delivery
TKT00234,A018,Resolved,0h 19m 30s,Returns
TKT00235,A018,Resolved,0h 44m 0s,General
TKT00236,A019,Resolved,0h 28m 0s,Technical
TKT00237,A019,Resolved,0h 15m 0s,Billing
TKT00238,A020,Resolved,0h 32m 30s,Account
TKT00239,A020,Resolved,0h 21m 0s,Delivery
TKT00240,A021,Resolved,0h 26m 0s,Returns
TKT00241,A021,Open,0h 39m 0s,General
TKT00242,A022,Resolved,0h 18m 30s,Technical
TKT00243,A022,Resolved,0h 31m 0s,Billing
TKT00244,A023,Resolved,0h 24m 45s,Account
TKT00245,A023,Resolved,0h 11m 0s,Delivery
TKT00246,A024,Resolved,0h 37m 0s,Returns
TKT00247,A024,Resolved,0h 20m 30s,General
TKT00248,A025,Resolved,0h 16m 0s,Technical
TKT00249,A025,Pending,0h 28m 0s,Billing
TKT00250,A026,Resolved,0h 33m 0s,Account
TKT00251,A026,Resolved,0h 19m 15s,Delivery
TKT00252,A027,Resolved,0h 25m 0s,Returns
TKT00253,A027,Open,0h 42m 0s,General
TKT00254,A028,Resolved,0h 17m 30s,Technical
TKT00255,A028,Resolved,0h 30m 0s,Billing
TKT00256,A029,Resolved,0h 22m 0s,Account
TKT00257,A029,Resolved,0h 38m 45s,Delivery
TKT00258,A030,Resolved,0h 16m 30s,Returns
TKT00259,A030,Open,0h 27m 0s,General
TKT00260,A031,Resolved,0h 34m 0s,Technical
TKT00261,A031,Resolved,0h 21m 45s,Billing
TKT00262,A032,Resolved,0h 28m 0s,Account
TKT00263,A032,Resolved,0h 13m 30s,Delivery
TKT00264,A033,Resolved,0h 36m 0s,Returns
TKT00265,A033,Pending,0h 19m 0s,General
TKT00266,A034,Resolved,0h 24m 15s,Technical
TKT00267,A034,Resolved,0h 31m 0s,Billing
TKT00268,A035,Resolved,0h 18m 30s,Account
TKT00269,A035,Resolved,0h 44m 0s,Delivery
TKT00270,A036,Resolved,0h 23m 0s,Returns
TKT00271,A036,Resolved,0h 17m 15s,General
TKT00272,A037,Resolved,0h 39m 0s,Technical
TKT00273,A037,Resolved,0h 20m 30s,Billing
TKT00274,A038,Resolved,0h 26m 0s,Account
TKT00275,A038,Open,0h 32m 0s,Delivery
TKT00276,A039,Resolved,0h 35m 45s,Returns
TKT00277,A039,Resolved,0h 15m 29s,General
TKT00278,A040,Resolved,0h 22m 0s,Technical
TKT00279,A040,Resolved,0h 29m 30s,Billing
TKT00280,A041,Resolved,0h 28m 0s,General
TKT00281,A041,Resolved,0h 34m 0s,Technical
TKT00282,A042,Resolved,0h 19m 0s,Account
TKT00283,A042,Resolved,0h 27m 0s,Delivery
,A010,Resolved,0h 30m 0s,Billing
TKT99993,A011,Resolved,,Returns
