product_id,category,price,old_name,base_price,user_id,region,priority,status,amount
P004608,Electronics,37.07,Miss,37.07,U01951,West,Medium,Pending,660.13
P000745,Beauty,13.0,Power,13.0,U01591,East,Low,Completed,1003.11
P002387,Groceries,105.16,Reach,105.16,U01983,North,Low,Completed,739.56
P000908,Electronics,116.27,Speech,116.27,U01610,South,Medium,Pending,427.46
P003800,Home & Kitchen,118.11,Perhaps,118.11,U00176,East,High,Completed,790.28
P004833,Groceries,104.58,Eye,104.58,U02231,East,Medium,Completed,1306.18
P001872,Electronics,13.27,Now,13.27,U00137,West,Medium,Cancelled,123.78
P003377,Books,13.19,Hair,13.19,U00654,South,Low,Pending,763.23
P007968,Books,19.44,Lot,19.44,U02071,North,High,Pending,440.83
P004670,Clothing,212.04,Training,212.04,U00462,East,High,Completed,1355.24
P003990,Groceries,80.95,You,80.95,U01093,West,Low,Completed,543.81
P002082,Groceries,108.38,Or,108.38,U01496,South,High,Completed,787.95
P000271,Beauty,111.2,Company,111.2,U02699,East,Medium,Completed,758.38
P007371,Home & Kitchen,22.83,Return,22.83,U01413,North,High,Completed,412.66
P003456,Groceries,58.83,Always,58.83,U01007,West,Medium,Completed,520.04
P007492,Electronics,137.01,Care,137.01,U00166,South,Medium,Completed,386.67
P001375,Beauty,88.93,Drop,88.93,U00476,North,Low,Completed,518.21
P003661,Books,124.05,Skill,124.05,U00296,West,Low,Refunded,584.92
P003612,Beauty,34.48,High,34.48,,North,Low,Completed,795.68
P004681,Clothing,79.1,Sing,79.1,U02253,North,Medium,Completed,1264.96
P003817,Sports,34.32,Network,34.32,U02380,North,Medium,Completed,912.06
P000683,Books,38.83,Leader,38.83,U00978,North,Low,Completed,505.31
P003576,Electronics,123.2,Yeah,123.2,U01158,East,High,Completed,189.8
P006561,Books,72.89,Meeting,72.89,U01287,South,Low,Cancelled,439.55
P005737,Beauty,62.09,Big,62.09,U02111,South,High,Completed,956.85
P003684,Books,104.92,Put,104.92,U02269,West,High,Completed,1112.85
P007791,Books,96.14,Score,96.14,U02148,West,Medium,Cancelled,678.41
P000563,Sports,39.53,Ok,39.53,U01417,North,Low,Completed,1320.96
P004129,Home & Kitchen,61.38,Seem,61.38,U00564,East,Medium,Completed,1218.19
P004464,Groceries,216.74,From,216.74,U00254,North,High,Completed,797.38
P001633,Books,64.12,Turn,64.12,U00463,East,High,Completed,1496.12
P003873,Home & Kitchen,46.77,Sort,46.77,U01205,North,Low,Completed,1207.82
P003246,Electronics,193.52,Order,193.52,U02729,East,High,Cancelled,1214.95
P002779,Clothing,81.16,Reality,81.16,U01272,North,Medium,Completed,1278.25
P003033,Clothing,67.69,Person,67.69,U01046,East,Medium,Pending,741.55
P003036,Home & Kitchen,18.06,Class,18.06,U02631,North,High,Completed,1273.35
P007243,Groceries,95.94,Audience,95.94,U02101,East,Medium,Pending,278.91
P000091,Groceries,77.91,Husband,77.91,U01439,West,High,Refunded,1126.55
P001647,Beauty,122.82,House,122.82,U00214,South,High,Completed,746.65
