item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,465,2,25639.11,6.94
2,1,416,5,11203.92,11.68
3,1,38,1,20413.22,15.91
4,1,536,5,32727.33,84.07
5,1,486,2,41127.77,20.95
6,2,208,6,19796.06,95.38
7,2,119,6,34735.28,23.32
8,2,94,2,7350.98,84.22
9,3,498,3,27420.08,14.4
10,3,388,6,8502.8,13.93
11,3,279,3,39956.34,12.03
12,4,459,2,20918.77,1.01
13,4,461,3,24461.69,69.9
14,4,317,4,35372.91,27.24
15,4,92,4,57776.87,3.3
16,4,430,6,21549.79,11.4
17,5,211,5,576.63,11.01
18,5,51,5,24870.18,29.97
19,5,380,1,36883.48,18.62
20,6,344,6,17982.37,26.17
21,6,403,3,18512.75,7.3
22,6,358,3,23791.76,17.67
23,6,289,5,42370.66,8.27
24,6,424,4,34537.7,40.99
25,7,539,6,42006.53,22.45
26,8,337,6,59300.8,16.0
27,8,513,5,56032.08,15.77
28,8,431,1,45638.9,1.84
29,8,132,2,28776.36,32.68
30,8,489,5,17295.22,12.38
31,9,484,1,2670.35,43.28
32,9,136,3,3938.89,6.7
33,9,129,1,8571.97,10.67
34,10,118,6,20065.78,35.62
35,10,209,6,11499.84,18.84
36,11,3,1,21693.72,25.94
37,11,441,3,13355.11,93.45
38,11,81,5,53112.58,18.36
39,11,224,4,40277.84,85.8
40,12,318,3,24453.99,0.56
41,12,469,2,42880.92,22.24
42,13,29,5,22947.6,1.5
43,13,34,6,39793.58,26.68
44,13,322,1,11380.59,20.78
45,13,145,3,13780.02,25.04
46,14,168,2,36609.17,39.08
47,15,460,6,55344.67,20.1
48,15,345,5,37454.15,13.63
49,16,339,5,13010.02,6.89
50,16,411,2,24556.66,22.02
51,17,439,4,48965.53,12.81
52,18,356,2,22274.69,94.16
53,18,323,2,44109.5,7.75
54,18,256,4,1839.7,91.79
55,18,59,2,32457.01,28.4
56,19,17,6,17631.18,1.75
57,19,94,6,49896.4,16.39
58,19,466,6,6185.26,19.27
59,19,167,6,49507.93,18.67
60,19,168,5,11054.32,38.63
61,20,233,6,30396.78,5.4
62,20,550,3,48179.6,20.64
63,20,452,4,32073.21,27.45
64,20,158,6,56834.54,18.82
65,20,481,4,56435.27,2.99
66,21,89,1,27527.59,7.07
67,22,426,4,51790.94,20.81
68,22,52,6,35936.03,58.78
69,22,76,5,41697.25,31.83
70,23,506,1,8612.09,11.63
71,24,256,2,21706.92,14.43
