product_id,product_name,category,subcategory,cost_price
1,Where Sweater,Clothing,Kids,43045.83
2,Town Journal,Books,Non-Fiction,5353.89
3,BECAUSE JEANS,Clothing,Footwear,12433.55
4,Federal Speaker,Electronics,Mobiles,43214.98
5,Piece Comic Book,Books,Non-Fiction,46690.89
6,Under Lamp,Home,Furniture,25760.51
7,  Of Storybook  ,Books,Academic,47264.38
8,Issue Cookbook,Books,Non-Fiction,2480.47
9,EVEN MIRROR,Home,Bedding,458.46
10,Current Headphones,Electronics,Cameras,36389.03
11,accept novel,Books,Academic,28535.57
12,  Security Dress  ,Clothing,Kids,25237.56
13,  Six Sofa  ,Home,Cleaning,4879.24
14,Strategy Curtains,Home,Decor,9992.94
15,  Account Novel  ,Books,Children,6894.97
16,  Participant Mirror  ,Home,Bedding,44661.93
17,NECESSARY SWEATER,Clothing,Kids,49531.26
18,Buy Curtains,Home,Cleaning,25510.22
19,Nature Biography,Books,Children,881.02
20,Account Cookware Set,Home,Kitchen,39847.9
21,HOW SMARTWATCH,Electronics,Audio,32796.77
22,REAL SOCKS,Clothing,Men,31469.81
23,  Describe Cookbook  ,Books,Non-Fiction,47412.85
24,rise phone,Electronics,Laptops,20968.08
25,Summer Encyclopedia,Books,Non-Fiction,30593.33
26,Four Comic Book,Books,Fiction,28066.29
27,issue encyclopedia,Books,Children,8700.46
28,High Curtains,Home,Cleaning,43389.34
29,BOTH MIRROR,Home,Cleaning,12363.63
30,Clear Vacuum Cleaner,Home,Furniture,35259.8
31,last storybook,Books,Academic,46688.33
32,Reach Sofa,Home,Decor,27182.38
33,PAY COMIC BOOK,Books,Academic,14417.14
34,Environment Smartwatch,Electronics,Accessories,37379.56
35,Every Dress,Clothing,Women,34823.76
36,TOP SHOES,Clothing,Men,33508.21
37,  North T-Shirt  ,Clothing,Women,16548.17
38,  Land Comic Book  ,Books,Fiction,27540.11
39,Other Socks,Clothing,Footwear,10012.83
40,History Vacuum Cleaner,Home,Decor,45401.45
41,Population Camera,Electronics,Audio,36169.73
42,Fact Tablet,Electronics,Laptops,8830.65
43,RESPONSE SMARTWATCH,Electronics,Cameras,37462.71
